DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-27,B-403,CN,B-403,EE,B-403,SE,A-LH-203,DAA,WL-104,CN(L),WL-104,CN(L)
TUE,CSE-27,B-403,EE,B-403,SE,B-403,DAA,---,X,---,X,---,X
WED,CSE-27,---,X,WL-104,DAA(L),WL-104,DAA(L),---,X,---,X,---,X
THU,CSE-27,---,X,---,X,---,X,---,X,---,X,---,X
FRI,CSE-27,A-LH-003,EE,A-LH-003,CN,A-LH-003,SE,---,X,---,X,---,X
SAT,CSE-27,---,X,B-304,X,B-304,CN,B-304,SE,B-304,DAA,B-304,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-28,---,X,A-LH-204,X,A-LH-204,SE,A-LH-204,DAA,---,X,---,X
TUE,CSE-28,---,X,B-404,EE,B-404,DAA,B-305,SE,B-305,CN,B-305,X
WED,CSE-28,---,X,B-306,X,B-306,EE,---,X,---,X,---,X
THU,CSE-28,B-302,CN,A-DL-102,CN(L),A-DL-102,CN(L),B-304,EE,B-304,SE,B-304,X
FRI,CSE-28,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CSE-28,---,X,B-404,CN,B-404,SE,A-DL-102,DAA,A-DL-102,DAA(L),A-DL-102,DAA(L)
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-29,---,X,A-DL-108,DAA(L),A-DL-108,DAA(L),B-305,CN,B-305,SE,B-305,EE
TUE,CSE-29,---,X,B-405,EE,B-405,CN,A-LH-201,DAA,---,X,---,X
WED,CSE-29,A-LH-202,SE,A-DL-001,CN(L),A-DL-001,CN(L),---,X,---,X,---,X
THU,CSE-29,---,X,B-404,X,B-404,SE,B-305,CN,B-305,DAA,B-305,X
FRI,CSE-29,A-LH-004,EE,A-LH-004,DAA,A-LH-004,SE,---,X,---,X,---,X
SAT,CSE-29,---,X,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-30,---,X,---,X,---,X,---,X,---,X,---,X
TUE,CSE-30,B-406,EE,B-406,SE,B-406,CN,A-DL-108,DAA,A-DL-108,CN(L),A-DL-108,CN(L)
WED,CSE-30,---,X,---,X,---,X,---,X,---,X,---,X
THU,CSE-30,---,X,B-405,X,B-405,SE,B-306,EE,B-306,DAA,B-306,CN
FRI,CSE-30,A-LH-005,CN,A-LH-005,EE,A-LH-005,SE,---,X,---,X,---,X
SAT,CSE-30,A-LH-206,SE,A-DL-102,DAA(L),A-DL-102,DAA(L),A-LH-110,DAA,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-31,A-LH-010,CN,A-DL-101,DAA(L),A-DL-101,DAA(L),B-306,EE,B-306,SE,B-306,X
TUE,CSE-31,---,X,---,X,---,X,---,X,---,X,---,X
WED,CSE-31,---,X,B-401,DAA,B-401,EE,---,X,---,X,---,X
THU,CSE-31,---,X,B-403,EE,B-403,CN,B-401,DAA,B-401,SE,B-401,X
FRI,CSE-31,A-LH-201,SE,A-DL-102,CN(L),A-DL-102,CN(L),---,X,---,X,---,X
SAT,CSE-31,---,X,B-405,X,B-405,SE,B-405,CN,B-405,DAA,B-405,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-32,B-405,EE,B-405,SE,B-405,CN,A-LH-206,DAA,---,X,---,X
TUE,CSE-32,A-LH-005,DAA,A-DL-108,DAA(L),A-DL-108,DAA(L),---,X,---,X,---,X
WED,CSE-32,---,X,---,X,---,X,---,X,---,X,---,X
THU,CSE-32,A-LH-003,CN,A-LH-003,SE,A-LH-003,EE,A-DL-108,DAA,A-DL-108,CN(L),A-DL-108,CN(L)
FRI,CSE-32,---,X,A-LH-009,SE,A-LH-009,EE,---,X,---,X,---,X
SAT,CSE-32,---,X,A-LH-207,X,A-LH-207,CN,A-LH-207,SE,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-33,A-LH-104,DAA,A-DL-106,CN(L),A-DL-106,CN(L),B-401,SE,B-401,EE,B-401,CN
TUE,CSE-33,---,X,---,X,---,X,B-306,DAA,B-306,CN,B-306,EE
WED,CSE-33,A-LH-203,SE,A-DL-006,DAA(L),A-DL-006,DAA(L),---,X,---,X,---,X
THU,CSE-33,---,X,---,X,---,X,---,X,---,X,---,X
FRI,CSE-33,A-LH-010,DAA,A-LH-010,SE,A-LH-010,EE,---,X,---,X,---,X
SAT,CSE-33,---,X,A-LH-003,X,A-LH-003,CN,A-LH-003,SE,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-34,B-406,EE,B-406,SE,B-406,CN,---,X,---,X,---,X
TUE,CSE-34,---,X,A-LH-003,X,A-LH-003,EE,B-401,CN,B-401,DAA,B-401,SE
WED,CSE-34,B-402,EE,B-402,DAA,B-402,SE,---,X,---,X,---,X
THU,CSE-34,---,X,---,X,---,X,A-DL-101,CN,A-DL-101,DAA(L),A-DL-101,DAA(L)
FRI,CSE-34,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CSE-34,A-LH-110,DAA,A-DL-108,CN(L),A-DL-108,CN(L),A-LH-103,SE,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-35,---,X,A-LH-003,CN,A-LH-003,SE,A-DL-001,DAA,A-DL-001,CN(L),A-DL-001,CN(L)
TUE,CSE-35,---,X,A-LH-004,X,A-LH-004,DAA,B-402,SE,B-402,EE,B-402,X
WED,CSE-35,---,X,B-403,SE,B-403,EE,---,X,---,X,---,X
THU,CSE-35,---,X,A-LH-004,SE,A-LH-004,EE,A-LH-110,DAA,A-LH-110,CN,A-LH-110,X
FRI,CSE-35,A-LH-107,CN,A-DL-108,DAA(L),A-DL-108,DAA(L),---,X,---,X,---,X
SAT,CSE-35,---,X,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-36,---,X,---,X,---,X,---,X,---,X,---,X
TUE,CSE-36,---,X,A-LH-005,X,A-LH-005,DAA,A-DL-101,SE,A-DL-101,CN(L),A-DL-101,CN(L)
WED,CSE-36,B-404,DAA,B-404,EE,B-404,SE,---,X,---,X,---,X
THU,CSE-36,A-LH-005,EE,A-LH-005,CN,A-LH-005,SE,---,X,---,X,---,X
FRI,CSE-36,---,X,A-LH-104,EE,A-LH-104,CN,---,X,---,X,---,X
SAT,CSE-36,A-LH-109,CN,A-DL-101,DAA(L),A-DL-101,DAA(L),B-306,DAA,B-306,SE,B-306,X
,,,,,,,,,,,,,
,,,,,,,,,,,,,
