Roll No.,Professional Elective 1,Professional Elective 2,Core Section
22051113,CI_CS-11,DOS_CS-6,CSE-48
22051114,DMDW_CS-11,DOS_CS-8,CSE-22
22051115,DMDW_CS-30,DOS_CS-27,CSE-33
22051116,CI_CS-14,DOS_CS-3,CSE-53
22051117,DMDW_CS-3,HPC_CS-13,CSE-19
22051118,DMDW_CS-35,DOS_CS-2,CSE-48
22051119,DMDW_CS-36,DOS_CS-19,CSE-36
2205112,DMDW_CS-4,DOS_CS-27,CSE-41
22051120,DMDW_CS-33,DOS_CS-26,CSE-16
22051121,DMDW_CS-35,DOS_CS-4,CSE-11
22051122,DMDW_CS-36,DOS_CS-22,CSE-39
22051123,DMDW_CS-12,DOS_CS-7,CSE-14
22051124,DMDW_CS-15,DOS_CS-30,CSE-45
22051125,CD_CS-2,HPC_CS-4,CSE-22
22051126,DMDW_CS-25,DOS_CS-31,CSE-45
22051127,DMDW_CS-21,DOS_CS-28,CSE-32
22051128,CI_CS-7,DOS_CS-3,CSE-53
22051129,DMDW_CS-10,DOS_CS-14,CSE-13
2205113,DMDW_CS-30,DOS_CS-5,CSE-44
22051130,DMDW_CS-28,DOS_CS-10,CSE-31
22051131,DMDW_CS-28,DOS_CS-10,CSE-31
22051132,DMDW_CS-17,DOS_CS-31,CSE-49
22051133,CD_CS-4,DOS_CS-30,CSE-35
22051134,DMDW_CS-19,DOS_CS-30,CSE-03
22051135,DMDW_CS-2,HPC_CS-2,CSE-31
22051136,DMDW_CS-4,DOS_CS-30,CSE-09
22051137,CD_CS-2,DOS_CS-8,CSE-15
22051138,CD_CS-1,HPC_CS-7,CSE-06
22051139,DMDW_CS-8,HPC_CS-17,CSE-21
2205114,DMDW_CS-35,HPC_CS-17,CSE-19
22051140,DMDW_CS-21,DOS_CS-10,CSE-36
22051141,DMDW_CS-1,DOS_CS-32,CSE-36
22051142,DMDW_CS-17,DOS_CS-31,CSE-49
22051143,DMDW_CS-12,DOS_CS-14,CSE-50
22051145,CI_CS-4,DOS_CS-1,CSE-41
22051146,CI_CS-1,HPC_CS-5,CSE-38
22051147,DMDW_CS-35,HPC_CS-14,CSE-31
22051148,DMDW_CS-27,DOS_CS-19,CSE-51
22051149,DMDW_CS-3,HPC_CS-6,CSE-17
2205115,DMDW_CS-4,DOS_CS-27,CSE-05
22051150,DMDW_CS-10,HPC_CS-6,CSE-17
22051152,DMDW_CS-2,DOS_CS-21,CSE-04
22051153,DMDW_CS-9,DOS_CS-9,CSE-32
22051154,DMDW_CS-10,HPC_CS-6,CSE-17
22051155,DMDW_CS-9,DOS_CS-3,CSE-36
22051156,DMDW_CS-5,DOS_CS-15,CSE-35
22051157,CI_CS-5,DOS_CS-28,CSE-45
22051158,DMDW_CS-21,HPC_CS-2,CSE-45
22051159,DMDW_CS-12,DOS_CS-8,CSE-38
